station_id,doy,h24_n,h24_mean,h24_p10,h24_p25,h24_p50,h24_p75,h24_p90,h24_p6freq,h48_n,h48_mean,h48_p10,h48_p25,h48_p50,h48_p75,h48_p90,h72_n,h72_mean,h72_p10,h72_p25,h72_p50,h72_p75,h72_p90
1067:CA:SNTL,1,153,1.438,0.0,0.0,0.0,1.0,4.8,0.0719,153,2.889,0.0,0.0,0.0,3.0,10.8,153,4.595,0.0,0.0,2.0,5.0,14.0
1067:CA:SNTL,2,153,1.451,0.0,0.0,0.0,1.0,4.8,0.0784,153,3.157,0.0,0.0,0.0,3.0,11.0,153,4.647,0.0,0.0,2.0,5.0,14.0
1067:CA:SNTL,3,153,1.706,0.0,0.0,0.0,1.0,5.0,0.0915,153,3.196,0.0,0.0,0.0,3.0,11.0,153,4.68,0.0,0.0,1.0,5.0,13.8
1067:CA:SNTL,4,153,1.49,0.0,0.0,0.0,1.0,4.0,0.0784,153,2.974,0.0,0.0,0.0,3.0,9.6,153,4.556,0.0,0.0,1.0,5.0,12.8
1067:CA:SNTL,5,153,1.484,0.0,0.0,0.0,1.0,4.0,0.0784,153,3.065,0.0,0.0,0.0,3.0,9.6,153,4.791,0.0,0.0,1.0,5.0,17.0
1067:CA:SNTL,6,153,1.582,0.0,0.0,0.0,1.0,5.0,0.085,153,3.307,0.0,0.0,0.0,3.0,10.8,153,4.895,0.0,0.0,1.0,5.0,17.0
1067:CA:SNTL,7,153,1.725,0.0,0.0,0.0,1.0,5.0,0.0915,153,3.314,0.0,0.0,0.0,4.0,11.0,153,5.157,0.0,0.0,2.0,6.0,19.6
1067:CA:SNTL,8,150,1.613,0.0,0.0,0.0,1.0,5.0,0.0933,150,3.487,0.0,0.0,0.0,4.0,11.1,150,5.28,0.0,0.0,2.0,6.0,20.1
1067:CA:SNTL,9,150,1.873,0.0,0.0,0.0,2.0,6.1,0.1133,150,3.667,0.0,0.0,0.0,4.0,12.0,150,5.447,0.0,0.0,2.0,6.75,20.1
1067:CA:SNTL,10,150,1.793,0.0,0.0,0.0,1.75,6.0,0.1067,150,3.573,0.0,0.0,0.0,4.0,12.0,150,5.407,0.0,0.0,2.0,6.75,18.2
1067:CA:SNTL,11,150,1.78,0.0,0.0,0.0,1.0,6.0,0.1067,150,3.613,0.0,0.0,0.0,4.0,12.0,150,5.34,0.0,0.0,2.0,6.75,18.2
1067:CA:SNTL,12,150,1.833,0.0,0.0,0.0,1.0,6.1,0.12,150,3.56,0.0,0.0,0.0,4.0,12.0,150,5.12,0.0,0.0,1.5,6.0,16.2
1067:CA:SNTL,13,150,1.727,0.0,0.0,0.0,1.0,6.1,0.1133,150,3.287,0.0,0.0,0.0,3.75,12.0,150,5.027,0.0,0.0,1.0,6.0,16.0
1067:CA:SNTL,14,150,1.56,0.0,0.0,0.0,1.0,5.1,0.1,150,3.3,0.0,0.0,0.0,3.0,12.0,150,5.027,0.0,0.0,1.0,6.0,16.2
1067:CA:SNTL,15,150,1.74,0.0,0.0,0.0,1.0,6.1,0.1133,150,3.467,0.0,0.0,0.0,4.0,12.0,150,5.08,0.0,0.0,1.0,6.0,18.0
1067:CA:SNTL,16,150,1.727,0.0,0.0,0.0,1.0,6.1,0.1133,150,3.34,0.0,0.0,0.0,3.75,12.0,150,4.68,0.0,0.0,0.5,6.0,16.0
1067:CA:SNTL,17,150,1.613,0.0,0.0,0.0,0.75,6.0,0.1067,150,2.953,0.0,0.0,0.0,3.0,10.0,150,4.34,0.0,0.0,0.0,6.0,12.4
1067:CA:SNTL,18,150,1.34,0.0,0.0,0.0,0.0,4.1,0.0933,150,2.727,0.0,0.0,0.0,3.0,9.0,150,4.253,0.0,0.0,0.0,6.0,12.4
1067:CA:SNTL,19,150,1.387,0.0,0.0,0.0,0.75,4.1,0.0933,150,2.913,0.0,0.0,0.0,3.0,9.1,150,4.46,0.0,0.0,0.0,6.0,16.0
1067:CA:SNTL,20,150,1.527,0.0,0.0,0.0,0.75,5.1,0.1,150,3.073,0.0,0.0,0.0,3.0,10.0,150,4.447,0.0,0.0,0.0,5.75,16.0
1067:CA:SNTL,21,150,1.547,0.0,0.0,0.0,0.0,4.2,0.1,150,2.92,0.0,0.0,0.0,3.0,10.0,150,4.24,0.0,0.0,0.0,4.0,16.0
1067:CA:SNTL,22,150,1.373,0.0,0.0,0.0,0.0,4.0,0.0933,150,2.693,0.0,0.0,0.0,2.0,9.0,150,3.787,0.0,0.0,0.0,3.75,10.0
1067:CA:SNTL,23,150,1.32,0.0,0.0,0.0,0.0,3.1,0.0867,150,2.413,0.0,0.0,0.0,2.0,7.1,150,3.54,0.0,0.0,0.0,3.0,9.1
1067:CA:SNTL,24,150,1.093,0.0,0.0,0.0,0.0,3.0,0.0667,150,2.22,0.0,0.0,0.0,2.0,7.0,150,3.48,0.0,0.0,0.0,3.0,9.1
1067:CA:SNTL,25,150,1.127,0.0,0.0,0.0,0.0,3.0,0.0733,150,2.387,0.0,0.0,0.0,2.0,7.0,150,3.633,0.0,0.0,0.0,3.0,10.0
1067:CA:SNTL,26,150,1.26,0.0,0.0,0.0,0.0,3.0,0.0733,150,2.507,0.0,0.0,0.0,2.0,7.0,150,3.893,0.0,0.0,0.0,3.0,10.0
1067:CA:SNTL,27,150,1.247,0.0,0.0,0.0,0.0,3.0,0.0733,150,2.633,0.0,0.0,0.0,2.0,8.2,150,4.1,0.0,0.0,0.0,3.75,12.0
1067:CA:SNTL,28,150,1.387,0.0,0.0,0.0,0.0,4.0,0.0867,150,2.853,0.0,0.0,0.0,2.0,10.0,150,4.22,0.0,0.0,0.0,4.0,13.2
1067:CA:SNTL,29,150,1.467,0.0,0.0,0.0,0.0,5.0,0.0867,150,2.833,0.0,0.0,0.0,2.0,10.0,150,4.213,0.0,0.0,0.0,4.75,13.0
1067:CA:SNTL,30,150,1.367,0.0,0.0,0.0,0.0,5.0,0.0867,150,2.747,0.0,0.0,0.0,2.0,9.1,150,4.087,0.0,0.0,0.0,3.75,13.0
1067:CA:SNTL,31,150,1.38,0.0,0.0,0.0,0.0,5.0,0.0867,150,2.72,0.0,0.0,0.0,2.0,9.1,150,4.187,0.0,0.0,0.0,4.5,13.0
1067:CA:SNTL,32,150,1.34,0.0,0.0,0.0,0.0,4.1,0.08,150,2.807,0.0,0.0,0.0,2.0,10.0,150,4.267,0.0,0.0,0.0,4.5,13.0
1067:CA:SNTL,33,150,1.467,0.0,0.0,0.0,0.0,5.0,0.0933,150,2.927,0.0,0.0,0.0,2.0,11.0,150,4.287,0.0,0.0,0.0,5.75,13.0
1067:CA:SNTL,34,150,1.46,0.0,0.0,0.0,0.0,5.1,0.1,150,2.82,0.0,0.0,0.0,2.0,10.1,150,4.087,0.0,0.0,0.0,5.75,13.0
1067:CA:SNTL,35,150,1.36,0.0,0.0,0.0,0.0,5.0,0.0933,150,2.627,0.0,0.0,0.0,2.75,10.0,150,4.087,0.0,0.0,0.0,6.0,13.0
1067:CA:SNTL,36,150,1.267,0.0,0.0,0.0,0.0,5.0,0.0867,150,2.727,0.0,0.0,0.0,3.0,10.0,150,4.24,0.0,0.0,0.5,6.75,13.0
1067:CA:SNTL,37,150,1.46,0.0,0.0,0.0,0.0,5.1,0.1,150,2.973,0.0,0.0,0.0,3.0,10.1,150,4.473,0.0,0.0,1.0,7.0,13.2
1067:CA:SNTL,38,150,1.513,0.0,0.0,0.0,0.75,5.1,0.1,150,3.013,0.0,0.0,0.0,3.0,10.1,150,4.507,0.0,0.0,1.0,6.75,14.1
1067:CA:SNTL,39,150,1.5,0.0,0.0,0.0,0.0,5.1,0.1,150,2.993,0.0,0.0,0.0,3.0,10.1,150,4.36,0.0,0.0,1.0,6.75,13.1
1067:CA:SNTL,40,150,1.493,0.0,0.0,0.0,0.75,5.0,0.0933,150,2.86,0.0,0.0,0.0,3.0,10.0,150,4.193,0.0,0.0,1.0,6.0,13.0
1067:CA:SNTL,41,150,1.367,0.0,0.0,0.0,0.0,5.1,0.1,150,2.7,0.0,0.0,0.0,3.75,10.0,150,3.893,0.0,0.0,0.0,5.75,13.0
1067:CA:SNTL,42,150,1.333,0.0,0.0,0.0,0.0,5.0,0.0933,150,2.527,0.0,0.0,0.0,3.0,9.1,150,3.78,0.0,0.0,0.0,5.0,12.1
1067:CA:SNTL,43,150,1.193,0.0,0.0,0.0,0.0,5.0,0.0733,150,2.447,0.0,0.0,0.0,3.0,9.0,150,3.673,0.0,0.0,0.5,5.0,12.0
1067:CA:SNTL,44,150,1.253,0.0,0.0,0.0,0.0,5.0,0.08,150,2.48,0.0,0.0,0.0,3.0,9.0,150,3.773,0.0,0.0,1.0,5.0,12.0
1067:CA:SNTL,45,150,1.227,0.0,0.0,0.0,0.0,4.1,0.0733,150,2.52,0.0,0.0,0.0,3.0,7.2,150,3.853,0.0,0.0,1.0,5.0,12.0
1067:CA:SNTL,46,150,1.293,0.0,0.0,0.0,0.75,5.0,0.0733,150,2.627,0.0,0.0,0.0,3.0,9.0,150,3.88,0.0,0.0,1.0,5.0,12.0
1067:CA:SNTL,47,150,1.333,0.0,0.0,0.0,1.0,5.0,0.08,150,2.587,0.0,0.0,0.0,3.0,7.2,149,3.832,0.0,0.0,1.0,5.0,12.0
1067:CA:SNTL,48,150,1.253,0.0,0.0,0.0,0.0,5.0,0.0733,149,2.49,0.0,0.0,0.0,3.0,7.0,148,3.797,0.0,0.0,0.5,5.0,12.0
1067:CA:SNTL,49,149,1.228,0.0,0.0,0.0,0.0,4.2,0.0671,148,2.527,0.0,0.0,0.0,3.0,8.3,147,3.898,0.0,0.0,0.0,5.0,12.8
1067:CA:SNTL,50,149,1.309,0.0,0.0,0.0,1.0,5.0,0.0805,148,2.703,0.0,0.0,0.0,3.0,10.0,147,3.946,0.0,0.0,0.0,5.0,12.8
1067:CA:SNTL,51,149,1.403,0.0,0.0,0.0,1.0,5.0,0.094,148,2.669,0.0,0.0,0.0,3.0,10.0,147,3.993,0.0,0.0,0.0,5.0,14.4
1067:CA:SNTL,52,149,1.275,0.0,0.0,0.0,0.0,5.0,0.0872,148,2.622,0.0,0.0,0.0,3.0,10.0,147,4.122,0.0,0.0,0.0,5.0,14.4
1067:CA:SNTL,53,149,1.356,0.0,0.0,0.0,0.0,5.2,0.1007,148,2.878,0.0,0.0,0.0,3.0,10.0,147,4.463,0.0,0.0,0.0,5.5,17.8
